isValidMove called with: 0 -1, BLACK
isValidMove called with: 0 0, BLACK
isValidMove called with: 0 -2, BLACK
isValidMove called with: 0 1, BLACK
isValidMove called with: 0 -3, BLACK
isValidMove called with: 0 2, BLACK
isValidMove called with: 0 3, BLACK
isValidMove called with: -3 3, BLACK
isValidMove called with: -3 2, BLACK
isValidMove called with: 3 -3, BLACK
isValidMove called with: -3 1, BLACK
isValidMove called with: -1 3, BLACK
isValidMove called with: 3 -2, BLACK
isValidMove called with: -3 0, BLACK
isValidMove called with: -1 2, BLACK
isValidMove called with: 1 -3, BLACK
FindAllSeams called with: 3 -1, found: [[3 -1, 2 -1, 1 -1]]
isValidMove called with: -1 1, BLACK
isValidMove called with: 1 -2, BLACK
isValidMove called with: 3 0, BLACK
isValidMove called with: -1 0, BLACK
isValidMove called with: 1 -1, BLACK
FindAllSeams called with: -1 -1, found: [[-1 0]]
isValidMove called with: 1 0, BLACK
isValidMove called with: -1 -2, BLACK
FindAllSeams called with: 1 1, found: [[1 1]]
isValidMove called with: 1 2, BLACK
isValidMove called with: -2 3, BLACK
isValidMove called with: -2 2, BLACK
isValidMove called with: 2 -3, BLACK
isValidMove called with: -2 1, BLACK
isValidMove called with: 2 -2, BLACK
isValidMove called with: -2 0, BLACK
isValidMove called with: 2 -1, BLACK
isValidMove called with: -2 -1, BLACK
isValidMove called with: 2 0, BLACK
isValidMove called with: 2 1, BLACK
FindAllSeams called with: 3 -1, found: [[3 -1, 2 -1, 1 -1]]
FindAllSeams called with: -1 -1, found: [[-1 0]]
FindAllSeams called with: 1 1, found: [[1 1]]
